,Examples,Labels
178,my last tweet didnt send bad phone,neutral
179, omg ur alive lol day has gone so slow im going insane gr you doing anything tonight,fun
180,have a headache im going to bed goodnight,empty
181, i was watching parental control,neutral
182, did you get them from california vintage ahahah they have the best dresses i want them but i dont have ebay,fun
183,i just saw pics from this past thanksgiving and am sad because grandma was in them,sadness
184, it wont let me,worry
185,took a shift tomorrow i dont really feel like working right now,sadness
186,but now i have no money for a phone,sadness
187,spent last night in aampe er wife tangled wheels with daughter amp hit the deck dislocation amp fracture resulted,worry
188,  days im about ready to visit torchwood and see if theyve heard anything,worry
189, where are you in bris i cant hear any thunder,surprise
190,bec vs fat food  winner  fat food but not this weeknend ill beat it,surprise
191,too bad the red devils disappointing to say the least,sadness
192,i had a dream about a pretty pretty beach and there was no beach when i woke up,surprise
193, have a ware se not fast enough for x xm ssd raid mhz iop on the hpt might try an adaptec  ghz,sadness
194,when da heck will the garage man get here i ask you when,surprise
195,ate mandy please forgive me i really am sorry i dont wanna lose my bff,worry
196, umm yeah thats probably a pretty good note to self because ew,hate
197,why are plane tickets so expensive,worry
198,  umm yeah thats probably a pretty good note to self because ew,fun
199,needs a job badly,worry
200, damn i do wish i was there,sadness
201,went to di bella coffee roasters today and asked for a job the person i needed to speak to is on holiday fb,worry
202, i played up until the latter parts of the voodoo village part coop until i lost my usual partner,sadness
203, nite now im up n bored as opposed to almost sleep frm b ,empty
204,is a bad friend,sadness
205, happy birthday hope you have an awesome day didnt see you at next last night,neutral
206, im doing that shit right now  im on vacation and you got me workin,hate
207, ill be over in an oir,neutral
208, guess its a no go girlie im still at the gym and work at am,neutral
209,would wish the severe migrains would stop docs prescriptions arent working,hate
210, i missed the game,love
211, no internet last night er was brill there was a massive explosion at the end of a nearby gas works er on standby,sadness
212, cuz airlines are super lame,hate
213,  still a pity it comes with no lamb though,sadness
214, im sorry to hear that here is my optimist things will get better for all of us,sadness
215,is done painting all the bedroom furniture i still have to do the table but it will wait until after the move uggh moving in the heat,relief
216,im so very tiredand have insomnia,hate
217, a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down,neutral
218, airport and you didnt show up tonight homo,neutral
219,i hate bakersfield and i hate the ports let me go home already i want to start my vacation,hate
220, what about me,neutral
221,looking for desktop twitter app that will actually let you access urls any suggestions i liked twittle but no linking,neutral
222,people in my house do not know how to close doors,worry
223,why am i completing facebook quizzes at this time of the morning especially a friday morning,surprise
224,out with  amp  i am so hungry,neutral
225, i dont like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death,worry
226,had to cancel wow for now,sadness
227,wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio,worry
228, but yeahim sad about my quotravenclawquot account i love that account to bits,sadness
229,its  am and i hear a helicopter flying over my house thats kind of weird in other news my headache is back bo,worry
230, oh no i am always here  lt,worry
231,back from school ms suhanas last day as our ft ocu was okay im playing altnoy over and over again,neutral
232, poll  was trying to get it to work in a powerpoint to no avail,neutral
233,took a math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs,happiness
234,omg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i didnt get to go,happiness
235, yeah its terrible cockatoos are the hardest to live with so emotional good thing he found you though,neutral
236,up late with nothin  do,sadness
237,i think the vog is making me sicker than i think feeling slightly achy,worry
238, i was watching harpers island lol there was no vodka involved,empty
239,i am doing homework it sux big time maths is the worst,worry
240, would have been better imo if it let you play through all  songs provided i just start to quotget itquot and it blacks out,neutral
241,wordsaftersex it never started,neutral
242,sometimes i wish things could go back to the way they were the beginning of last summer,sadness
243,i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didnt,worry
244, trudys off burnetthe one up north that no one goes to,empty
245, i feel the same way but i guess no matter where you are there will always be memes,sadness
246,i cant do  minutes of treadmill but done  minutes for today already gonna do  minutes more,happiness
247,im so confused,worry
248,with friends like vaikonedumaran ltte didnt need enemies wrong advice at wrong time led to numerous deaths amp a lost cause as well,neutral
249,work day  of ,worry
250,chillin with the roomies cant wait for the zombie clwn cr its gonna be  weeks,happiness
251,i love guitars and playing them i think they sound magnificent if only i was better if only,neutral
252, no refunds but they do retrieve accounts takes like a week just hoping the thief doesnt use hacks or then its permaban,worry
253, no im not cries lol,neutral
254,cute malay girl came to seemy room for rent  sadly think it was for her guyfreind bit misleading and disappointing lol,sadness
255, epicentre wheelock place  units amp for tourists only starting today,surprise
256,i hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time,hate
257,come on knight its been well over  hours,neutral
258,not super keen on the drive home through the rain additional concentration required that i dont really wanna deal with,worry
259, aw u cant let me in on the secret,surprise
260, im sorry i dont think i stick out at least compared to what i used to look like,surprise
261,no transport for church wont be making it im crushed oh well more time for assignments i suppose my throat really hurts ,worry
262,i hate when i see pregnant women smoking its so irresponsible n selfish its sad ultimately the baby is the one who suffers,hate
263,liesliesliesyou just cant avoid to lie about practicallyeverything,hate
264,twittascope is not rocking my socks  go away already,neutral
265,driving back home because i forgot the piece of cake for ,neutral
266, so i tried jumping without the trampoline and its like thud thud shouldnt have eaten that cookie ,worry
267,everytime i send an email to my coach i feel a need to practice shitty balls lol,sadness
268,its pissing me off and not letting me follow ericka,sadness
269,is going to sleep not peaceful wanted to hear him say good night but that didnt happen good night everyone,sadness
270,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried,sadness
271, i was so close to the tacosone spot too late,neutral
272, umm how bout emaint get  see da game but i see dey survived anotha game of da series due to notin but lebron im guessin,empty
273,is thinking so much and im at work,surprise
274,i have forgot the live with the jonas brothers on facebook,worry
275,i havent seen muffin in two whole days,sadness
276, ill miss yall back give  my regards,sadness
277,my gap year is going so quick,surprise
278,i have to admit im a bit bummed out that i wasnt with my friends walking today,worry
279, girl a blunt is so in my thoughts right now i had an absolutly great day with a few stressorscome home,neutral
280,my twitter has been hacked again,worry
281,just found mj mouse flats at djs of course there are none left in my size,sadness
282, i wont have time to buy and i need a new binder pa,neutral
283, hahaha well its try its so ugly,hate
284,man ulduar is hard,neutral
285, i dont even want to know why you know about vhemt but dont go  wed miss you,worry
286, thats awesome we have that this weekend too but i cant go because im moving this sat i should be a lot of fun though,fun
287,night night twitter world still cant believe the thomas thing tomorrows gunna be funsad,neutral
288, this is happening to me too,neutral
289, oh no hugs,surprise
290, bored now because i was talking to someone but now theyre busy with something else just kinda a bummer idk,neutral
291, i knoww things wont be the samee lt,sadness
292,omgness its  pm and i need to beup early to set up my garage sale it starts a am wish i said am im beat,worry
293, i kno i do yall partyin with out me,happiness
294,okay so twitter suddenly changed how do i respond to messages now,worry
295,ugh my dad just told me to read an article about kavya shivashankar the spellin bee girland be more like her,neutral
296,decided that no matter how good my hair looks curly it doesnt justify the burn i get from the curler my hands covered i suck at it,worry
297,going to sleep gonna fall asleep playing apps again tmrw is going to suck,sadness
298, yea i gotta be up at ,neutral
299,i hate when my bf beats da dogs but i guess that the only way to teach these pitts,hate
300,sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend,worry
301,i cant believe the metal gear solid song was stolen im so disappointed ,sadness
302,think i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me,hate
303,not one sale done today at work explored balconies in the big theater w coworkers a fun day but void of chili fries and tips,neutral
304, i wish i had left  dead but first id need something to play it on,sadness
305, me too,neutral
306, that story reminds of living in portugal,neutral
307, youre diabetic so is my dad amp i might be too not sure are you still allowed to eat sugar throughout the day,neutral
308,i spilled my beer all over my leg wasted half my beer home now i met a cute girl good conversation,happiness
309,my roommate  loves to ignore me,hate
310, ill make him nachos tomorrow better than if he would have made them himself,neutral
311, yeah ampdont judge my pillow,neutral
312,scary lightning and thunder im glad its over now going to sleep i hope im not late to school tomorow again haha,relief
313,my teeth and head hurts,sadness
314,i hate rob zombie movies amp the smell of weed vom,sadness
315, maths and science were the strongest for me i thinkdunno bout geography only did like  day of study for  a year of work,hate
316,waiting in line  tryst,boredom
317,hope i get a job cuz we need an apartment im drunk amp miss my lil punkin tehe,worry
318,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover,worry
319,i need to be held gnite,worry
320,hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents,worry
321,no more arrested development i am sad,sadness
322, wicked  what time you leaving how come you cant stay the night,neutral
323,omg i keep losing followers this is so sad i want  one daythats my goal d,sadness
324,i feel so deflated no more doggy,sadness
325, i wanna see her hair hows everyone,worry
326,i just had to empty my trash on the mac that was one of the most difficult things i have ever done in my life  pictures are gone,sadness
327,im contacting paws philippines so i can find quottigerquot a new owner im so sad i love my dog soo much,sadness
328,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
329,aww pray for the arroyo family everyone,worry
330, theres a manual process but its taking ever on my outlook database pf crappy msft product,neutral
331,fudge movie store is closed,sadness
332,alo is so sad and quiet and empty tonight,sadness
333, hahahaha its not horrible if others were singing with im sure it could work i wish i could afford my own drum set,hate
334, you never answered your dm i sent you i need your info,worry
335,am trying to get through the pilot of the first season of friday night lights oh gosh pass the tissue,worry
336, aw where are you headed to i just cancelled my trip to aussie,sadness
337,i have cystic lacrimal infectection my eye and face are swollen and it hurts,worry
338, i didnt think anyone caught that,worry
339,i need to be sleeping but im not even tired,empty
340,,empty
341,oh nevermind i think this thing is unsalvageable,neutral
342,lyin in bed up far too early,neutral
343,sad that christian lacroix had to file bankruptcy,sadness
344,i dont feel good at all fuck,sadness
345,why did i agree to work a double shift,boredom
346,looks like ill never go to the zoo,worry
347, ohh poor girl ill email her i am relying on you being here in october mr,worry
348,when will medhurst play again,neutral
349, bad times,worry
350,aarrgghh  fuka hose has leaked water all over the new floating floor,hate
351,have to go to the dreaded dmv tomorrow,sadness
352, im a bit bens thaied out,neutral
353,english class working on interactive orals,happiness
354, thank you for the rec but that doesnt work,worry
355, im sorry excited for tomorrow night karaoke getting anything special for bday,neutral
356,my puppy gizmo hs me haha he still growls  me i always look back  my long pruple scar on my fingie,worry
357,i dont know how ima work out tomorrow wit my body dis sore ugh,worry
358,in  wo you,neutral
359, yeah plus its just a little too far to walk to pinocchios for sushi,neutral
360,im feeling this pressure in my head that always kicks in just before a nasty headache im not looking forward to this,worry
361,taylor swift and joe jonas looked really good together im kinda sad they broke up,sadness
362,im suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts,worry
363,lady across the way had a miscarriage say a prayer,worry
364,god i just want to sleep,sadness
365, oh thunderstormsboo why do they always have to make the power go out,hate
366,i feel so deflated no more doggy,worry
367,found my book starting a real paperbound journal tonight have an annoying zit above my lip makes me look like i have herpes,sadness
368,ratt rocked nashville toniteone thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look,hate
369,is feeling bad just got bad news about my mum,worry
370, but but i dun wanna,sadness
371, damn girl im so down but ya gotta let me know so i can get my kit together amp i got a flyer any next weekend iquotm down,sadness
372, dbl bo for being sick flippin blows  bahaha i kno i dont have many friends on here either i feel so lame haha,sadness
373, thats what i was thinking but the only time its gonna be on is  am,neutral
374,peeps still here fun times gotta sleep tho work in the am some cool hot chicks here but none as cool as  missing her,neutral
375,dont feel like working i think i tweet this too often,worry
376,feels sick to my stomach and idkk whyy,sadness
377,vinerinimic special sau probabil un alt weekend pierdut,worry
378,counting the hours of lost sunshine until the weekend,neutral
379,  dude i just saw your sf pics looks like your mini excursion was pretty kick ass didnt see any sun while i was there tho,surprise
380,is home safely but hungry,relief
381, um i was thrown from  van yesterday and had to be taken to the er,sadness
382,got to final table butwent out third dont think ill be getting my free seat,worry
383,good morning work this morning gutted lol nevermind,neutral
384,i have to work in the morning while my friends get to party it upstupid bberry lite flashing red and i have no messages,hate
385,fb is boring and i wanna sing right now ,happiness
386, the link doesnt work,sadness
387, hahaha i dont know anyone or anything about it except they have powers lol i live in my own bubble,neutral
388,the humpalow um ya i think so cell is dying,worry
389,last day at worksick to the bone,worry
390,i feel like im on house arrest,worry
391,love is like a wareasy to begin hard to endfiuuhh,neutral
392, ur supposed to be in bk tho,surprise
393, did you know that there is a shortage of shells for crabs to use on the beach due to beach combers it is very sad,worry
394,oh no nighty night,surprise
395, must have new music i wont sleep until you give us chapter  i might die first though hurry,happiness
396,my stupid toth hurts,sadness
397, love the song quottogetherquot thats quothisquot song for mewell i think its still is,love
398,ready to go  school,neutral
399, my computers broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked up my order,sadness
400, its good isnt it our holiday chalet is out of sight but look v similar to those ones going home again today,neutral
401,its a sad economy just heard of another friend losing their job so sad but just a reminder that,worry
402, im just starting to feel really panicky and anxious that something bad has happened cos it seems like its been ages,worry
403,my dog ran away,worry
404, those suck so bad,hate
405,im back top molar extracted swollen face all numb but no more toothache or sinus pain,worry
406,just finished  hours of texas life insurance ce tonight  more hours to go,relief
407,does anyone know any good rap songs i need to make a rapfun cd and i have no idea help,worry
408,i want to go to peru this summer ah hopefully yesyesyes i miss it over there,love
409, what happen to the maids of yours quit once again ,empty
410,im awake anybody else awake wish i lived in the us since all the fun happens when im asleep,sadness
411,at charles with the power out lol damn savemart lost power and we could not buy beer,hate
412, heehee i love you i am tired,sadness
413,my mobile phone refuses to charge either the battery is broken or the charger  bo,worry
414, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry
415, hm i thought u were sleeping too bad i cant see those videos until tomorrow night,worry
416,morning everyone sorry for going early last night had bad news felt totally crap today is a new day,sadness
417,went to the beach and it started raining,empty
418,how i wish my parents put me into a chinese school when i was younger then itll be so much easier for me to get a job,sadness
419,  yeah physically moving too apparently well be reporting directly to mr hayward,relief
420, airport and you didnt show up tonight homo,neutral
421, jealous it looks like schindlers list in toronto,worry
422,i want another tatt,enthusiasm
423, what come as you are but erock just left bah d,neutral
424,so i need to make a lot of money tomorrow,enthusiasm
425, being in your room makes me sad,sadness
426,nearly fell asleep but was jolted out of bed by a massive panic attack and now im not sure if i can sleep at all,worry
427,for the gays i only made  tonight,neutral
428, oh fck i completely forgot about thirsty thursday oh my gaga this sucks,sadness
429,if one people did any wrong the world blames all the people over there this is the great world which we are living in shit,sadness
430, nope they are all sleeping cuz they live on the east coast,surprise
431, i bet its cool down in sr huh its not here i havent stopped sweating since noon when dad and i were packing,neutral
432, eww dislike,sadness
433,tactical mistake going to the city library and buying milk who knew ouch ouch ouch maybe a good thing i didnt try for uni,worry
434,decided  trans frm relaxed  natural hair but i wish my whole head looked like my roots age of the instant gratification,neutral
435, sorry bout the cat,sadness
436,needs to have an increase on her salary ,neutral
437,my stomach feels like its touching the groundim so full,worry
438,pug just woke me from an incredible sleep,love
439, i cant wait to hear your new album im sure will be amazingplease just replay to me i love you so much,love
440,so much work so little time,worry
441,missed iron chef,sadness
442, the ds version sucks,sadness
443,what a bad day,sadness
444, i know ridiculous we never got to hang out i love chicago and want to go shopping so a trip sounds like fun,enthusiasm
445,hates the net ayaw bumukas ng twitter ,hate
446,ugh my internet was down,worry
447,omg i didnt tweet all that much today sadness,surprise
448,is feeling so giddy and wanna go home,worry
449,the week just wasnt the same without an adam lambert performance,neutral
450, the link doesnt work,neutral
451,up and packing its the last day of youth camp,worry
452,gossip girl when are you coming back  chace,neutral
453,smh  hiphop nursery rhymes,neutral
454,somebody please save the polar bears,worry
455, no i just look at a lot of pictures lol lol,happiness
456, not really sleepy bored is the right word  again not much work,surprise
457,it has come to my attention from a yo friend that ive recently gained a ton of weight he didnt know it was me,worry
458,guess im staying home tonightno movieing for me,worry
459,went to the cd store to search for the cd but,sadness
460, reminds me of the weather a month ago it was horrible i hope all is well hugs,worry
461,i miss my mom quotmay angels lead you inquot,sadness
462,theres really no android twitter app of tweeties calibre,love
463,on jacksonville beach walking in the cold ass water but have to work in the morning ily ltgt,hate
464, no its not,neutral
465, i feel the same way every day,sadness
466,cant sleep sucks the one day i have to sleep in and i have to get up and go shopping with mom ugh,sadness
467, well i just got home and its not on till tmw at p but with comcast its on right now but i didnt miss it,neutral
468,sleppytime really missing my godfather right now love you wayne,sadness
469,so have a headache right now and it sucks,sadness
470, hope ya sleepin well guys still here,worry
471,i should be finished but im not color drawing here i come,fun
472, lakers baby lakers ill miss the game tmwr i have to work youll have to keep me posted please,sadness
473,comfort food of the day pan mee though it didnt taste any good,sadness
474,damn being drunk and hot sucks,worry
475,misses my baby,sadness
476,is not sleeping because he has paperwork to do,worry
477,showered in icecold water sweating now means one thing im sick,worry
478,midnight cry wish the person i wanted wanted me right now,worry
479, ima need you to follow me real quick cause i cant dm you,neutral
480,im poorly and cant sleep,sadness
481,went to pole class feeling discouraged i am hopeless when it cones to dancing or sexy moves or spreading my legs,worry
482, and these poor unfortunate souls dont appear to have any pants at all  ,worry
483,  if i told you how often i wash my hair you would never speak to me again,worry
484,looks like another sleepless night dedicated to homework sorry in advance ms chapman,worry
485,  why do u lot mock me,worry
486,didnt say goodnight to you,worry
487, i am not a pussy damnit sending you an email right now btw,hate
488,has work tom,sadness
489,in the hongkong international airport has to wait for  hours for our next flight to cebu,neutral
490,cant sleep and nothings on tv,neutral
491,the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,love
492, oh  youve been superseeded not good enough,neutral
493,today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and im definately not working this pm,sadness
494,fuckinm transtelecom,anger
495,is really really bored i guess i will go to bed,boredom
496, i met a stranger just  min ago he was stalking me at the store,worry
497, tee we beefinwhat was u supposed to do before leavin,surprise
498,sometimes the things you say hurt the ones you love most unintentionally and you can never ever take it back or fix it,sadness
499, that sucks,sadness
500, i know and mean,neutral
501,having fever dont feel to work,sadness
502,taking horse pills hoping i can get some sleep tonight,worry
503, pgpm student from where i myself was a pgpm student about  years back i wish i could stay one,neutral
504,missing  days cant pass quick enough,sadness
505, hey thats my school i hate that place,hate
506,working from home today my back is killing me doctor and then physio after later today,sadness
507,back to work with no distractions,neutral
508, demi just say hi to me and its enough just replay to me please love you so much,happiness
